id	filename	md5	size	state
39d5b681-82a5-4242-bdd3-45b4634bc51c	f17570c3-948b-4897-b246-b112f0587028.wxs.aliquot_ensemble_masked.maf.gz	8fb44242745f2a2688e2cdd10680b7ff	55753	released
bbd01fa4-425d-4e6e-accf-4856bce78fcf	b329dc36-e310-4a06-be0e-29ebb4579339.wxs.aliquot_ensemble_masked.maf.gz	10374cf3a83d8137bf45d89353b89547	141340	released
0bb8e5b0-ec72-48c2-8bc3-a4fa1830d7b2	4cc70382-3d73-4e0d-bc93-c00ccc68528a.wxs.aliquot_ensemble_masked.maf.gz	568695bf2f4052141b7c69749b307a69	289066	released
c909d683-6aa0-4f09-afcd-6a8317fa4472	976edfca-fef9-420e-b3d2-5689dc0112a4.wxs.aliquot_ensemble_masked.maf.gz	3c73407bbb0a748411f5877133637862	210504	released
9a296a5a-f833-47a7-8c43-0764cd7a484c	8cbff068-efc5-469c-a02b-fcd0cd11572b.wxs.aliquot_ensemble_masked.maf.gz	c37e02262f38c78032fda50496271173	21680	released
f85d4b34-10e4-4450-b6eb-2de01cfcbb74	f8c96996-d15d-4136-a193-c227a3fe0ed2.wxs.aliquot_ensemble_masked.maf.gz	87d364af8f6a4c4aa08f5e481846da6c	17081	released
784f7fd2-1be4-48de-8495-6e231ab2c48f	58af1899-1f19-464a-b151-8f806508cafe.wxs.aliquot_ensemble_masked.maf.gz	af95a4ea091593887a2f6d799dcf1540	258427	released
16c00630-1212-4803-910c-44631e333fbd	c39430f0-38c1-4f83-9d35-ba3cff783f01.wxs.aliquot_ensemble_masked.maf.gz	58e65ad9625f271f118fd3b47710ce02	27839	released
f726c117-fdcf-4678-8c4b-df324f841f0f	b5a867e1-549a-4322-bf50-40cd139f3a41.wxs.aliquot_ensemble_masked.maf.gz	e0d47c5170663db5b6f63506400f52b2	151324	released
81bce608-c41e-481a-9125-f1387e6cc476	20948a6b-54f7-4dea-bb52-7f784480ada7.wxs.aliquot_ensemble_masked.maf.gz	742dbec6ebdaf6d878026c39e0c90e66	20378	released
99a65ca2-c539-4b0a-9c2a-600a4440f594	a8e06662-b763-4db5-8975-69b8a3063c03.wxs.aliquot_ensemble_masked.maf.gz	fb9d4bad8c3751d8c0351f668e97dd0d	19181	released
98f5a299-afb2-48c9-8231-25777941a7ff	9144d5b9-d4d2-432a-8cf3-0bdef3dfdbf1.wxs.aliquot_ensemble_masked.maf.gz	0f3607a80a3146a4d235dd0747a261e8	205023	released
82c821d1-163c-4f28-b604-d1ee3d5cb425	d287206b-3a46-4e8d-8f54-41f8c7980f32.wxs.aliquot_ensemble_masked.maf.gz	916f61954a4c33d66bdc078338ffaec4	168885	released
172c6ef2-8d48-4e99-99ce-6b3336fb288c	7731e90a-7a34-40d3-991f-ec5e19d2d5a8.wxs.aliquot_ensemble_masked.maf.gz	198d2220f885289c67c99e0df3fffd0b	139621	released
2a608c9c-c567-4b8a-9522-251fcc67ca29	e1e9f775-ac7c-4cf8-8dda-3bcfa0c19413.wxs.aliquot_ensemble_masked.maf.gz	f0a23a9b34e5592a0ef4e24e015d3b3c	189597	released
33144604-9026-449e-a6fd-2450e7d0ef1e	fa54f7af-571c-4c80-b930-6065121ff524.wxs.aliquot_ensemble_masked.maf.gz	a0430e3ec13b115a39ca0fc53f23a34f	24739	released
12dcf229-d871-46eb-9dd1-597e0d00b7cf	7567b67f-cdc4-41a4-a7ac-ec53083d20f6.wxs.aliquot_ensemble_masked.maf.gz	fa7d7da8633753eb31cd33d313f31986	55950	released
90b125b9-f1ec-4973-b80e-53770db902a3	743c2dca-02a1-4c73-949c-be879293671a.wxs.aliquot_ensemble_masked.maf.gz	21c0ab6f87310e9492bf8c6381e694b9	44603	released
c083b72d-97af-45ba-98ad-664f066a8a14	b93418ee-b1bb-4853-a1f1-200523792c15.wxs.aliquot_ensemble_masked.maf.gz	d927cd3e853ab54631eb44d28059dc88	104936	released
9c3f81eb-f686-42c4-b586-e63d05ebe21f	35e07225-76c9-4707-a396-b808a6cda92b.wxs.aliquot_ensemble_masked.maf.gz	65dbb2fe93ac9eb494da2eb3a97d01f5	7399	released
a40bd2f1-8143-4c3b-9a69-400585d1f23a	a2b5bdcf-b839-4166-8bd9-49056c1570bb.wxs.aliquot_ensemble_masked.maf.gz	90e4c04b7ab802b8b7326b5a1dcefd37	265068	released
3a7390dd-f069-4c6a-8802-a80f09662663	1e93b4e7-0da7-4252-8161-9f76a02c19f9.wxs.aliquot_ensemble_masked.maf.gz	28bf28c115f888776534f6fafa1ac996	756524	released
a80f9789-bc1e-4f36-ab23-b11f5f7f78b0	8a7949d1-1049-4d34-bbd7-e4317e1296ac.wxs.aliquot_ensemble_masked.maf.gz	75bbaca1d8711bab65f6b90fa7a38781	597144	released
527b8c0b-9df5-46fa-abaa-fe5e7800ab9b	7bd3adc1-55a8-4951-913e-75c495d7a4cc.wxs.aliquot_ensemble_masked.maf.gz	ceb2ac745112db344fdc487c312f7f89	69119	released
55515bec-e049-4dfc-9f6c-00ab6199fc9a	fc768178-70cd-416e-9d1c-e34875475d74.wxs.aliquot_ensemble_masked.maf.gz	07044ee0b1609f3ede4d5f229ed6baa0	32589	released
7cc70573-b278-4d57-a62f-8314faecdda7	b7a2aebc-0296-4613-bb63-964362399082.wxs.aliquot_ensemble_masked.maf.gz	d7718a52ba35e7d3d24d0984817415fb	155668	released
e0342903-81c4-4993-bca4-8471b53ccae5	94512f8b-5f1c-48ad-96e8-d63cdbf2001b.wxs.aliquot_ensemble_masked.maf.gz	9d076746879c72ae1c02578230b2fa89	9301	released
c5a98ac6-8a62-4550-af4b-b429f249bb60	4b56113a-a6bf-4625-8bf7-e8d2efbaec14.wxs.aliquot_ensemble_masked.maf.gz	d286eaf467e306913cb71733f7947072	186714	released
195e5f71-d93e-4dd0-80ba-9c32b1739a69	5dcc88af-fef0-4313-b747-46ecbba90981.wxs.aliquot_ensemble_masked.maf.gz	51be591b470dcd64c5d92f5b99fd285b	14027	released
c6348e5d-194f-4eab-a262-d5b52be6ed5a	ae5049bd-dbca-45cf-9f61-cd36d42c9502.wxs.aliquot_ensemble_masked.maf.gz	17ab8d05cecabfe2860db3ca044e1084	70146	released
316b1674-a58a-4a46-b039-306790c5bbc6	94a2bd48-2eb3-4c71-a5e4-63aed51a6aa2.wxs.aliquot_ensemble_masked.maf.gz	93b4b90b2a645abfd38550cc5cd7647b	11726	released
11d62b0b-7da0-497b-b1af-bbb0add09296	ea67a27a-fb82-4a9a-b5e1-ee0e416d4158.wxs.aliquot_ensemble_masked.maf.gz	ec373add1b43c1419ed4d14c10192d67	208461	released
15046982-a4ac-435d-811b-11c64f4cbe52	c09fe46c-8660-4fa2-9e8e-063af70f9c90.wxs.aliquot_ensemble_masked.maf.gz	2b9c1d8dfef69705d0c9c3fa07978441	14760	released
09524af0-5201-457c-945e-6bcd4bab0be4	ee1cf887-53f6-4874-bfb8-3b58bf61af97.wxs.aliquot_ensemble_masked.maf.gz	cd88168ac94e2d0a30275731d863a536	132604	released
